customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score,segment,first_category,outcome
1057,2014-06-08,3,8,571,1,2,2,5,Churned,Beverages,Churned
1058,2015-11-10,4,8,51,4,3,2,9,Potential,Fresh Produce,Retained
1059,2014-06-14,2,5,565,1,1,1,3,Churned,Other,Churned
1061,2015-09-05,5,14,117,3,4,4,11,Loyal,Beverages,Retained
1062,2015-09-18,5,16,104,4,4,5,13,Champion,Other,Retained High-Value
1063,2015-01-23,2,4,342,1,1,1,3,Churned,Fresh Produce,Churned
1064,2015-07-25,3,7,159,3,2,2,7,Potential,Bakery & Grains,Retained
1065,2015-11-13,6,14,48,4,5,4,13,Champion,Other,Retained High-Value
1066,2014-06-12,3,6,567,1,2,2,5,Churned,Beverages,Churned
1067,2015-07-20,3,8,164,3,2,2,7,Potential,Dairy,Retained
1068,2015-07-01,2,4,183,3,1,1,5,At-Risk,Beverages,Churned
1069,2015-08-20,4,10,133,3,3,3,9,Potential,Meat & Snacks,Retained
1070,2014-11-05,2,4,421,1,1,1,3,Churned,Fresh Produce,Churned
1071,2014-09-26,1,3,461,1,1,1,3,Churned,Other,Churned
1072,2015-10-23,2,4,69,4,1,1,6,At-Risk,Fresh Produce,Churned
1073,2015-12-03,4,12,28,5,3,4,12,Loyal,Other,Retained
1074,2015-10-16,5,10,76,4,4,3,11,Loyal,Other,Retained
1075,2015-11-19,4,11,42,5,3,3,11,Loyal,Other,Retained
1076,2015-10-14,4,13,78,4,3,4,11,Loyal,Other,Retained
1077,2015-09-12,6,14,110,3,5,4,12,Loyal,Other,Retained
1078,2015-10-28,2,7,64,4,1,2,7,Potential,Beverages,Retained
1079,2015-09-09,2,6,113,3,1,2,6,At-Risk,Other,Churned
1080,2015-05-14,2,5,231,2,1,1,4,Churned,Beverages,Churned
1081,2015-05-03,5,16,242,2,4,5,11,Loyal,Other,Retained
1082,2014-05-13,2,5,597,1,1,1,3,Churned,Other,Churned
1083,2015-02-06,3,7,328,1,2,2,5,Churned,Other,Churned
1084,2014-04-18,1,2,622,1,1,1,3,Churned,Fresh Produce,Churned
1085,2015-08-15,3,7,138,3,2,2,7,Potential,Beverages,Retained
1086,2015-12-28,5,14,3,5,4,4,13,Champion,Bakery & Grains,Retained High-Value
1087,2015-08-14,9,21,139,3,5,5,13,Champion,Other,Retained High-Value
1088,2015-11-30,3,9,31,5,2,3,10,Loyal,Dairy,Retained
1089,2014-12-05,1,2,391,1,1,1,3,Churned,Other,Churned
1090,2015-10-21,3,12,71,4,2,4,10,Loyal,Bakery & Grains,Retained
1092,2015-10-09,5,20,83,4,4,5,13,Champion,Dairy,Retained High-Value
1093,2015-03-28,1,2,278,2,1,1,4,Churned,Dairy,Churned
1094,2015-09-08,8,20,114,3,5,5,13,Champion,Other,Retained High-Value
1095,2015-10-30,3,8,62,4,2,2,8,Potential,Dairy,Retained
1096,2015-07-28,1,2,156,3,1,1,5,At-Risk,Fresh Produce,Churned
1097,2015-11-01,6,17,60,4,5,5,14,Champion,Meat & Snacks,Retained High-Value
1098,2015-11-12,7,24,49,4,5,5,14,Champion,Other,Retained High-Value
1099,2015-08-13,3,6,140,3,2,2,7,Potential,Other,Retained
1100,2015-03-12,3,10,294,2,2,3,7,Potential,Other,Retained
1101,2014-12-28,3,7,368,1,2,2,5,Churned,Dairy,Churned
1102,2015-06-27,4,10,187,3,3,3,9,Potential,Fresh Produce,Retained
1103,2014-11-22,4,10,404,1,3,3,7,Potential,Bakery & Grains,Retained
1104,2015-10-27,4,10,65,4,3,3,10,Loyal,Dairy,Retained
1105,2015-05-22,2,6,223,2,1,2,5,Churned,Other,Churned
1107,2015-10-01,8,20,91,4,5,5,14,Champion,Other,Retained High-Value
1108,2015-07-30,4,12,154,3,3,4,10,Loyal,Other,Retained
1109,2015-04-06,5,12,269,2,4,4,10,Loyal,Other,Retained
1110,2015-11-20,7,18,41,5,5,5,15,Champion,Dairy,Retained High-Value
1111,2015-11-20,4,11,41,5,3,3,11,Loyal,Other,Retained
1112,2015-04-09,1,4,266,2,1,1,4,Churned,Other,Churned
1113,2015-08-05,4,11,148,3,3,3,9,Potential,Dairy,Retained
1114,2015-07-10,6,16,174,3,5,5,13,Champion,Other,Retained High-Value
1115,2015-01-22,4,8,343,1,3,2,6,Churned,Other,Churned
1116,2015-11-29,8,24,32,5,5,5,15,Champion,Other,Retained High-Value
1117,2015-05-24,1,3,221,2,1,1,4,Churned,Dairy,Churned
1118,2015-12-25,6,18,6,5,5,5,15,Champion,Beverages,Retained High-Value
1119,2015-02-04,1,2,330,1,1,1,3,Churned,Other,Churned
1120,2015-09-26,6,17,96,4,5,5,14,Champion,Other,Retained High-Value
1121,2014-03-15,1,2,656,1,1,1,3,Churned,Beverages,Churned
1122,2015-12-21,3,6,10,5,2,2,9,Potential,Meat & Snacks,Retained
1123,2015-11-12,4,11,49,4,3,3,10,Loyal,Dairy,Retained
1124,2014-08-23,2,4,495,1,1,1,3,Churned,Other,Churned
1125,2015-11-19,5,11,42,5,4,3,12,Loyal,Other,Retained
1126,2015-05-17,3,9,228,2,2,3,7,Potential,Bakery & Grains,Retained
1127,2015-10-15,4,12,77,4,3,4,11,Loyal,Other,Retained
1128,2015-07-05,4,10,179,3,3,3,9,Potential,Other,Retained
1129,2014-12-21,5,13,375,1,4,4,9,Potential,Dairy,Retained
1130,2015-09-18,4,11,104,4,3,3,10,Loyal,Dairy,Retained
1132,2015-09-22,3,10,100,4,2,3,9,Potential,Dairy,Retained
1133,2015-08-03,5,13,150,3,4,4,11,Loyal,Other,Retained
1134,2014-12-04,3,7,392,1,2,2,5,Churned,Other,Churned
1135,2015-07-10,3,10,174,3,2,3,8,Potential,Dairy,Retained
1136,2015-11-03,9,19,58,4,5,5,14,Champion,Fresh Produce,Retained High-Value
1137,2015-09-26,2,6,96,4,1,2,7,Potential,Beverages,Retained
1138,2015-09-02,3,6,120,3,2,2,7,Potential,Other,Retained
1139,2015-01-19,4,9,346,1,3,3,7,Potential,Fresh Produce,Retained
1140,2015-06-26,2,8,188,3,1,2,6,At-Risk,Other,Churned
1141,2014-12-15,4,9,381,1,3,3,7,Potential,Fresh Produce,Retained
1142,2015-06-13,4,8,201,2,3,2,7,Potential,Other,Retained
1143,2015-04-25,5,12,250,2,4,4,10,Loyal,Other,Retained
1144,2015-10-15,7,16,77,4,5,5,14,Champion,Beverages,Retained High-Value
1145,2015-10-07,3,6,85,4,2,2,8,Potential,Other,Retained
1146,2015-09-12,7,20,110,3,5,5,13,Champion,Other,Retained High-Value
1147,2014-11-16,3,6,410,1,2,2,5,Churned,Other,Churned
1148,2015-09-27,6,19,95,4,5,5,14,Champion,Beverages,Retained High-Value
1149,2015-12-12,2,7,19,5,1,2,8,Potential,Dairy,Retained
1150,2015-12-04,4,10,27,5,3,3,11,Loyal,Fresh Produce,Retained
1151,2015-09-17,2,5,105,4,1,1,6,At-Risk,Other,Churned
1152,2015-07-19,4,8,165,3,3,2,8,Potential,Other,Retained
1153,2015-12-08,6,17,23,5,5,5,15,Champion,Fresh Produce,Retained High-Value
1154,2015-05-17,3,9,228,2,2,3,7,Potential,Bakery & Grains,Retained
1155,2015-12-27,3,8,4,5,2,2,9,Potential,Dairy,Retained
1156,2015-09-13,1,2,109,3,1,1,5,At-Risk,Fresh Produce,Churned
1157,2014-10-04,2,7,453,1,1,2,4,Churned,Other,Churned
1158,2015-10-17,4,11,75,4,3,3,10,Loyal,Dairy,Retained
1159,2015-06-14,3,6,200,2,2,2,6,Churned,Fresh Produce,Churned
1160,2015-11-20,6,15,41,5,5,5,15,Champion,Dairy,Retained High-Value
1161,2015-03-14,2,7,292,2,1,2,5,Churned,Other,Churned
1162,2015-08-06,5,12,147,3,4,4,11,Loyal,Dairy,Retained
1163,2015-12-14,3,9,17,5,2,3,10,Loyal,Meat & Snacks,Retained
1164,2015-03-30,2,5,276,2,1,1,4,Churned,Fresh Produce,Churned
1165,2015-12-29,4,9,2,5,3,3,11,Loyal,Meat & Snacks,Retained
1166,2014-06-03,2,4,576,1,1,1,3,Churned,Fresh Produce,Churned
1167,2015-02-16,2,4,318,2,1,1,4,Churned,Fresh Produce,Churned
1168,2015-03-06,3,9,300,2,2,3,7,Potential,Other,Retained
1169,2014-12-15,9,21,381,1,5,5,11,Loyal,Beverages,Retained
1170,2015-12-01,7,20,30,5,5,5,15,Champion,Dairy,Retained High-Value
1171,2015-05-05,5,10,240,2,4,3,9,Potential,Beverages,Retained
1173,2015-10-22,4,9,70,4,3,3,10,Loyal,Other,Retained
1174,2015-02-11,5,11,323,2,4,3,9,Potential,Fresh Produce,Retained
1175,2015-06-30,5,19,184,3,4,5,12,Loyal,Other,Retained
1176,2015-08-17,6,14,136,3,5,4,12,Loyal,Fresh Produce,Retained
1177,2015-10-14,1,4,78,4,1,1,6,At-Risk,Other,Churned
1178,2015-11-15,4,11,46,5,3,3,11,Loyal,Other,Retained
1179,2014-09-11,2,5,476,1,1,1,3,Churned,Beverages,Churned
1180,2014-08-24,2,4,494,1,1,1,3,Churned,Dairy,Churned
1181,2015-11-16,3,8,45,5,2,2,9,Potential,Beverages,Retained
1182,2015-11-29,6,16,32,5,5,5,15,Champion,Other,Retained High-Value
1183,2015-06-29,3,16,185,3,2,5,10,Loyal,Meat & Snacks,Retained
1184,2015-06-16,2,5,198,2,1,1,4,Churned,Other,Churned
1185,2015-08-24,4,10,129,3,3,3,9,Potential,Other,Retained
1186,2015-04-26,4,9,249,2,3,3,8,Potential,Dairy,Retained
1187,2015-12-12,3,7,19,5,2,2,9,Potential,Beverages,Retained
1188,2015-01-09,3,8,356,1,2,2,5,Churned,Other,Churned
1189,2014-07-04,2,4,545,1,1,1,3,Churned,Fresh Produce,Churned
1190,2015-10-27,8,17,65,4,5,5,14,Champion,Other,Retained High-Value
1191,2015-08-08,2,6,145,3,1,2,6,At-Risk,Other,Churned
1192,2015-01-09,2,5,356,1,1,1,3,Churned,Bakery & Grains,Churned
1193,2015-11-12,2,4,49,4,1,1,6,At-Risk,Other,Churned
1194,2015-05-13,3,9,232,2,2,3,7,Potential,Beverages,Retained
1195,2015-11-04,3,6,57,4,2,2,8,Potential,Other,Retained
1196,2015-11-27,3,8,34,5,2,2,9,Potential,Fresh Produce,Retained
1197,2015-11-22,6,18,39,5,5,5,15,Champion,Other,Retained High-Value
1198,2015-01-31,3,7,334,1,2,2,5,Churned,Fresh Produce,Churned
1199,2015-12-10,4,13,21,5,3,4,12,Loyal,Other,Retained
1200,2015-09-26,3,8,96,4,2,2,8,Potential,Other,Retained
1201,2014-11-24,2,4,402,1,1,1,3,Churned,Dairy,Churned
1202,2015-07-22,4,10,162,3,3,3,9,Potential,Beverages,Retained
1204,2015-07-23,7,16,161,3,5,5,13,Champion,Other,Retained High-Value
1205,2015-03-14,3,10,292,2,2,3,7,Potential,Dairy,Retained
1206,2015-05-15,3,14,230,2,2,4,8,Potential,Fresh Produce,Retained
1207,2015-11-14,3,8,47,4,2,2,8,Potential,Other,Retained
1208,2015-12-16,5,11,15,5,4,3,12,Loyal,Beverages,Retained
1209,2014-11-11,4,9,415,1,3,3,7,Potential,Other,Retained
1211,2015-05-24,6,16,221,2,5,5,12,Loyal,Dairy,Retained
1212,2015-07-31,4,8,153,3,3,2,8,Potential,Dairy,Retained
1213,2015-09-14,3,13,108,3,2,4,9,Potential,Dairy,Retained
1214,2015-01-10,2,6,355,1,1,2,4,Churned,Other,Churned
1215,2015-01-18,3,9,347,1,2,3,6,Churned,Other,Churned
1216,2015-08-25,4,14,128,3,3,4,10,Loyal,Other,Retained
1217,2015-02-18,3,8,316,2,2,2,6,Churned,Dairy,Churned
1218,2015-12-29,7,21,2,5,5,5,15,Champion,Fresh Produce,Retained High-Value
1219,2014-10-02,2,4,455,1,1,1,3,Churned,Other,Churned
1220,2015-12-29,5,17,2,5,4,5,14,Champion,Meat & Snacks,Retained High-Value
1221,2014-11-15,1,2,411,1,1,1,3,Churned,Beverages,Churned
1222,2015-09-24,2,4,98,4,1,1,6,At-Risk,Beverages,Churned
1223,2015-11-30,4,10,31,5,3,3,11,Loyal,Other,Retained
1224,2014-09-20,2,4,467,1,1,1,3,Churned,Other,Churned
1225,2015-05-20,7,21,225,2,5,5,12,Loyal,Dairy,Retained
1226,2015-11-12,2,10,49,4,1,3,8,Potential,Bakery & Grains,Retained
1227,2014-05-08,1,2,602,1,1,1,3,Churned,Other,Churned
1228,2015-02-23,1,3,311,2,1,1,4,Churned,Other,Churned
1229,2015-03-20,3,8,286,2,2,2,6,Churned,Other,Churned
1230,2015-11-19,6,14,42,5,5,4,14,Champion,Beverages,Retained High-Value
1231,2015-10-27,7,16,65,4,5,5,14,Champion,Dairy,Retained High-Value
1232,2015-07-01,3,7,183,3,2,2,7,Potential,Beverages,Retained
1233,2015-08-13,6,19,140,3,5,5,13,Champion,Other,Retained High-Value
1234,2015-11-20,4,10,41,5,3,3,11,Loyal,Fresh Produce,Retained
1235,2015-05-29,8,19,216,2,5,5,12,Loyal,Other,Retained
1236,2015-05-11,2,5,234,2,1,1,4,Churned,Fresh Produce,Churned
1237,2015-04-09,7,20,266,2,5,5,12,Loyal,Other,Retained
1238,2015-03-01,1,2,305,2,1,1,4,Churned,Meat & Snacks,Churned
1239,2015-08-31,7,16,122,3,5,5,13,Champion,Other,Retained High-Value
1240,2015-04-14,3,13,261,2,2,4,8,Potential,Other,Retained
1241,2015-05-22,4,11,223,2,3,3,8,Potential,Other,Retained
1242,2015-12-14,6,17,17,5,5,5,15,Champion,Other,Retained High-Value
1243,2014-01-08,1,2,722,1,1,1,3,Churned,Other,Churned
1244,2014-11-25,3,8,401,1,2,2,5,Churned,Other,Churned
1245,2015-12-04,7,20,27,5,5,5,15,Champion,Other,Retained High-Value
1246,2014-12-29,4,8,367,1,3,2,6,Churned,Other,Churned
1247,2014-10-04,2,4,453,1,1,1,3,Churned,Other,Churned
1248,2015-12-15,8,16,16,5,5,5,15,Champion,Dairy,Retained High-Value
1249,2014-10-11,2,5,446,1,1,1,3,Churned,Fresh Produce,Churned
1250,2014-10-08,1,2,449,1,1,1,3,Churned,Fresh Produce,Churned
1251,2015-11-26,1,3,35,5,1,1,7,Potential,Beverages,Retained
1252,2015-04-13,3,10,262,2,2,3,7,Potential,Other,Retained
1253,2015-06-20,2,6,194,2,1,2,5,Churned,Other,Churned
1254,2015-04-19,2,5,256,2,1,1,4,Churned,Other,Churned
1255,2014-09-26,1,2,461,1,1,1,3,Churned,Beverages,Churned
1256,2015-08-29,5,12,124,3,4,4,11,Loyal,Beverages,Retained
1257,2014-09-16,2,4,471,1,1,1,3,Churned,Other,Churned
1258,2014-08-09,2,6,509,1,1,2,4,Churned,Beverages,Churned
1259,2015-11-27,6,14,34,5,5,4,14,Champion,Dairy,Retained High-Value
1260,2014-10-04,2,4,453,1,1,1,3,Churned,Other,Churned
1261,2015-05-21,2,8,224,2,1,2,5,Churned,Other,Churned
1262,2014-07-22,2,6,527,1,1,2,4,Churned,Other,Churned
1263,2014-10-19,2,4,438,1,1,1,3,Churned,Fresh Produce,Churned
1264,2015-12-07,6,17,24,5,5,5,15,Champion,Dairy,Retained High-Value
1265,2015-10-03,7,25,89,4,5,5,14,Champion,Beverages,Retained High-Value
1266,2014-08-27,1,2,491,1,1,1,3,Churned,Other,Churned
1267,2014-05-15,1,2,595,1,1,1,3,Churned,Dairy,Churned
1268,2014-10-19,4,9,438,1,3,3,7,Potential,Fresh Produce,Retained
1269,2015-09-30,5,14,92,4,4,4,12,Loyal,Bakery & Grains,Retained
1270,2015-04-25,3,6,250,2,2,2,6,Churned,Other,Churned
1272,2014-07-27,1,2,522,1,1,1,3,Churned,Other,Churned
1273,2015-05-04,2,4,241,2,1,1,4,Churned,Meat & Snacks,Churned
1274,2014-07-10,3,7,539,1,2,2,5,Churned,Other,Churned
1275,2015-10-18,10,24,74,4,5,5,14,Champion,Other,Retained High-Value
1276,2015-11-23,5,13,38,5,4,4,13,Champion,Other,Retained High-Value
1277,2015-12-01,5,15,30,5,4,5,14,Champion,Other,Retained High-Value
1278,2015-12-09,4,15,22,5,3,5,13,Champion,Fresh Produce,Retained High-Value
1279,2015-09-10,6,17,112,3,5,5,13,Champion,Dairy,Retained High-Value
1280,2015-08-12,4,8,141,3,3,2,8,Potential,Bakery & Grains,Retained
1281,2015-06-02,3,9,212,2,2,3,7,Potential,Bakery & Grains,Retained
1282,2015-11-18,5,10,43,5,4,3,12,Loyal,Other,Retained
1283,2015-11-13,7,17,48,4,5,5,14,Champion,Beverages,Retained High-Value
1284,2014-09-01,2,4,486,1,1,1,3,Churned,Bakery & Grains,Churned
1285,2015-07-21,5,14,163,3,4,4,11,Loyal,Bakery & Grains,Retained
1286,2015-08-12,7,16,141,3,5,5,13,Champion,Meat & Snacks,Retained High-Value
1287,2015-08-28,5,17,125,3,4,5,12,Loyal,Fresh Produce,Retained
1288,2014-09-28,2,7,459,1,1,2,4,Churned,Dairy,Churned
1289,2015-11-08,4,11,53,4,3,3,10,Loyal,Bakery & Grains,Retained
1290,2015-09-22,3,13,100,4,2,4,10,Loyal,Other,Retained
1291,2015-03-20,4,12,286,2,3,4,9,Potential,Other,Retained
1292,2015-10-24,2,4,68,4,1,1,6,At-Risk,Other,Churned
1293,2015-10-26,4,11,66,4,3,3,10,Loyal,Beverages,Retained
1294,2014-12-22,5,12,374,1,4,4,9,Potential,Other,Retained
1295,2015-07-23,3,8,161,3,2,2,7,Potential,Beverages,Retained
1296,2015-11-23,6,17,38,5,5,5,15,Champion,Other,Retained High-Value
1297,2014-12-13,4,9,383,1,3,3,7,Potential,Other,Retained
1298,2015-07-27,3,7,157,3,2,2,7,Potential,Bakery & Grains,Retained
1299,2015-06-03,3,8,211,2,2,2,6,Churned,Dairy,Churned
1300,2014-09-04,1,2,483,1,1,1,3,Churned,Meat & Snacks,Churned
1301,2015-11-03,3,7,58,4,2,2,8,Potential,Other,Retained
1302,2015-09-29,4,10,93,4,3,3,10,Loyal,Beverages,Retained
1303,2015-09-08,5,14,114,3,4,4,11,Loyal,Other,Retained
1304,2015-08-17,3,7,136,3,2,2,7,Potential,Fresh Produce,Retained
1305,2015-05-24,3,12,221,2,2,4,8,Potential,Fresh Produce,Retained
1306,2015-11-20,3,9,41,5,2,3,10,Loyal,Other,Retained
1307,2015-06-22,5,12,192,2,4,4,10,Loyal,Other,Retained
1308,2015-03-14,4,8,292,2,3,2,7,Potential,Bakery & Grains,Retained
1309,2015-04-01,5,11,274,2,4,3,9,Potential,Meat & Snacks,Retained
1310,2014-11-22,2,4,404,1,1,1,3,Churned,Meat & Snacks,Churned
1311,2015-06-29,3,8,185,3,2,2,7,Potential,Bakery & Grains,Retained
1312,2015-05-18,6,14,227,2,5,4,11,Loyal,Other,Retained
1313,2015-12-25,1,2,6,5,1,1,7,Potential,Fresh Produce,Retained
1314,2014-09-05,1,2,482,1,1,1,3,Churned,Other,Churned
1315,2015-11-07,3,6,54,4,2,2,8,Potential,Other,Retained
1316,2015-03-26,3,6,280,2,2,2,6,Churned,Other,Churned
1317,2014-07-26,3,6,523,1,2,2,5,Churned,Meat & Snacks,Churned
1318,2015-09-26,2,5,96,4,1,1,6,At-Risk,Dairy,Churned
1319,2015-08-18,3,9,135,3,2,3,8,Potential,Beverages,Retained
1320,2015-01-19,4,10,346,1,3,3,7,Potential,Other,Retained
1321,2015-04-13,2,5,262,2,1,1,4,Churned,Beverages,Churned
1322,2015-10-19,4,15,73,4,3,5,12,Loyal,Fresh Produce,Retained
1323,2015-11-03,3,8,58,4,2,2,8,Potential,Dairy,Retained
1324,2015-12-27,5,14,4,5,4,4,13,Champion,Other,Retained High-Value
1325,2015-05-26,3,9,219,2,2,3,7,Potential,Bakery & Grains,Retained
1326,2015-11-09,3,11,52,4,2,3,9,Potential,Other,Retained
1327,2015-08-09,8,18,144,3,5,5,13,Champion,Other,Retained High-Value
1328,2015-03-24,3,10,282,2,2,3,7,Potential,Fresh Produce,Retained
1329,2015-05-23,5,16,222,2,4,5,11,Loyal,Beverages,Retained
1330,2015-11-02,4,11,59,4,3,3,10,Loyal,Other,Retained
1331,2015-11-29,4,9,32,5,3,3,11,Loyal,Fresh Produce,Retained
1332,2015-12-02,5,15,29,5,4,5,14,Champion,Other,Retained High-Value
1333,2015-09-22,6,18,100,4,5,5,14,Champion,Other,Retained High-Value
1334,2015-06-07,2,5,207,2,1,1,4,Churned,Other,Churned
1335,2015-10-18,4,12,74,4,3,4,11,Loyal,Other,Retained
1336,2015-04-04,3,9,271,2,2,3,7,Potential,Dairy,Retained
1337,2015-12-25,2,4,6,5,1,1,7,Potential,Other,Retained
1338,2014-08-11,2,5,507,1,1,1,3,Churned,Other,Churned
1339,2015-11-28,5,13,33,5,4,4,13,Champion,Other,Retained High-Value
1340,2015-11-18,6,14,43,5,5,4,14,Champion,Other,Retained High-Value
1341,2015-10-30,4,12,62,4,3,4,11,Loyal,Other,Retained
1342,2015-02-19,5,13,315,2,4,4,10,Loyal,Other,Retained
1343,2015-11-01,4,10,60,4,3,3,10,Loyal,Dairy,Retained
1344,2015-09-04,2,6,118,3,1,2,6,At-Risk,Other,Churned
1345,2015-07-21,3,10,163,3,2,3,8,Potential,Beverages,Retained
1346,2015-05-08,3,7,237,2,2,2,6,Churned,Bakery & Grains,Churned
1347,2015-09-15,4,14,107,3,3,4,10,Loyal,Other,Retained
1348,2015-09-17,2,6,105,4,1,2,7,Potential,Other,Retained
1349,2015-12-13,4,11,18,5,3,3,11,Loyal,Other,Retained
1350,2014-09-03,2,6,484,1,1,2,4,Churned,Other,Churned
1351,2015-02-26,2,6,308,2,1,2,5,Churned,Other,Churned
1352,2014-03-03,1,2,668,1,1,1,3,Churned,Fresh Produce,Churned
1353,2015-02-09,6,21,325,1,5,5,11,Loyal,Fresh Produce,Retained
1354,2015-12-01,5,13,30,5,4,4,13,Champion,Other,Retained High-Value
1355,2015-09-19,5,13,103,4,4,4,12,Loyal,Other,Retained
1356,2015-09-08,4,10,114,3,3,3,9,Potential,Other,Retained
1357,2015-09-06,3,6,116,3,2,2,7,Potential,Beverages,Retained
1358,2015-12-29,4,12,2,5,3,4,12,Loyal,Other,Retained
1359,2014-05-29,1,4,581,1,1,1,3,Churned,Other,Churned
1360,2015-12-16,5,16,15,5,4,5,14,Champion,Other,Retained High-Value
1361,2015-09-08,7,17,114,3,5,5,13,Champion,Meat & Snacks,Retained High-Value
1362,2015-10-06,2,5,86,4,1,1,6,At-Risk,Fresh Produce,Churned
1363,2015-10-14,5,13,78,4,4,4,12,Loyal,Dairy,Retained
1364,2015-07-31,4,8,153,3,3,2,8,Potential,Other,Retained
1365,2015-11-02,6,12,59,4,5,4,13,Champion,Other,Retained High-Value
1366,2015-11-29,6,25,32,5,5,5,15,Champion,Other,Retained High-Value
1367,2015-08-05,2,5,148,3,1,1,5,At-Risk,Dairy,Churned
1368,2015-07-15,1,2,169,3,1,1,5,At-Risk,Other,Churned
1369,2014-12-01,3,8,395,1,2,2,5,Churned,Other,Churned
1370,2015-07-05,3,13,179,3,2,4,9,Potential,Fresh Produce,Retained
1371,2015-05-11,3,6,234,2,2,2,6,Churned,Fresh Produce,Churned
1372,2015-06-25,3,10,189,3,2,3,8,Potential,Other,Retained
1373,2015-07-19,3,14,165,3,2,4,9,Potential,Beverages,Retained
