customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score,segment
1083,2015-02-06,3,7,328,1,2,2,5,Churned
1084,2014-04-18,1,2,622,1,1,1,3,Churned
1085,2015-08-15,3,7,138,3,2,2,7,Potential
1086,2015-12-28,5,14,3,5,4,4,13,Champion
1087,2015-08-14,9,21,139,3,5,5,13,Champion
1088,2015-11-30,3,9,31,5,2,3,10,Loyal
1089,2014-12-05,1,2,391,1,1,1,3,Churned
1090,2015-10-21,3,12,71,4,2,4,10,Loyal
1092,2015-10-09,5,20,83,4,4,5,13,Champion
1093,2015-03-28,1,2,278,2,1,1,4,Churned
1094,2015-09-08,8,20,114,3,5,5,13,Champion
1095,2015-10-30,3,8,62,4,2,2,8,Potential
1096,2015-07-28,1,2,156,3,1,1,5,At-Risk
1097,2015-11-01,6,17,60,4,5,5,14,Champion
1098,2015-11-12,7,24,49,4,5,5,14,Champion
1099,2015-08-13,3,6,140,3,2,2,7,Potential
1100,2015-03-12,3,10,294,2,2,3,7,Potential
1101,2014-12-28,3,7,368,1,2,2,5,Churned
1102,2015-06-27,4,10,187,3,3,3,9,Potential
1103,2014-11-22,4,10,404,1,3,3,7,Potential
1104,2015-10-27,4,10,65,4,3,3,10,Loyal
1105,2015-05-22,2,6,223,2,1,2,5,Churned
1107,2015-10-01,8,20,91,4,5,5,14,Champion
1108,2015-07-30,4,12,154,3,3,4,10,Loyal
1109,2015-04-06,5,12,269,2,4,4,10,Loyal
1110,2015-11-20,7,18,41,5,5,5,15,Champion
1111,2015-11-20,4,11,41,5,3,3,11,Loyal
1112,2015-04-09,1,4,266,2,1,1,4,Churned
1113,2015-08-05,4,11,148,3,3,3,9,Potential
1114,2015-07-10,6,16,174,3,5,5,13,Champion
1115,2015-01-22,4,8,343,1,3,2,6,Churned
1116,2015-11-29,8,24,32,5,5,5,15,Champion
1117,2015-05-24,1,3,221,2,1,1,4,Churned
1118,2015-12-25,6,18,6,5,5,5,15,Champion
1119,2015-02-04,1,2,330,1,1,1,3,Churned
1120,2015-09-26,6,17,96,4,5,5,14,Champion
1121,2014-03-15,1,2,656,1,1,1,3,Churned
1122,2015-12-21,3,6,10,5,2,2,9,Potential
1123,2015-11-12,4,11,49,4,3,3,10,Loyal
1124,2014-08-23,2,4,495,1,1,1,3,Churned
1125,2015-11-19,5,11,42,5,4,3,12,Loyal
1126,2015-05-17,3,9,228,2,2,3,7,Potential
1127,2015-10-15,4,12,77,4,3,4,11,Loyal
1128,2015-07-05,4,10,179,3,3,3,9,Potential
1129,2014-12-21,5,13,375,1,4,4,9,Potential
1130,2015-09-18,4,11,104,4,3,3,10,Loyal
1132,2015-09-22,3,10,100,4,2,3,9,Potential
1133,2015-08-03,5,13,150,3,4,4,11,Loyal
1134,2014-12-04,3,7,392,1,2,2,5,Churned
1135,2015-07-10,3,10,174,3,2,3,8,Potential
1136,2015-11-03,9,19,58,4,5,5,14,Champion
1137,2015-09-26,2,6,96,4,1,2,7,Potential
1138,2015-09-02,3,6,120,3,2,2,7,Potential
1139,2015-01-19,4,9,346,1,3,3,7,Potential
1140,2015-06-26,2,8,188,3,1,2,6,At-Risk
1141,2014-12-15,4,9,381,1,3,3,7,Potential
1142,2015-06-13,4,8,201,2,3,2,7,Potential
1143,2015-04-25,5,12,250,2,4,4,10,Loyal
1144,2015-10-15,7,16,77,4,5,5,14,Champion
1145,2015-10-07,3,6,85,4,2,2,8,Potential
1146,2015-09-12,7,20,110,3,5,5,13,Champion
1147,2014-11-16,3,6,410,1,2,2,5,Churned
1148,2015-09-27,6,19,95,4,5,5,14,Champion
1149,2015-12-12,2,7,19,5,1,2,8,Potential
1150,2015-12-04,4,10,27,5,3,3,11,Loyal
1151,2015-09-17,2,5,105,4,1,1,6,At-Risk
1152,2015-07-19,4,8,165,3,3,2,8,Potential
1153,2015-12-08,6,17,23,5,5,5,15,Champion
1154,2015-05-17,3,9,228,2,2,3,7,Potential
1155,2015-12-27,3,8,4,5,2,2,9,Potential
1156,2015-09-13,1,2,109,3,1,1,5,At-Risk
1157,2014-10-04,2,7,453,1,1,2,4,Churned
1158,2015-10-17,4,11,75,4,3,3,10,Loyal
1159,2015-06-14,3,6,200,2,2,2,6,Churned
1160,2015-11-20,6,15,41,5,5,5,15,Champion
1161,2015-03-14,2,7,292,2,1,2,5,Churned
1162,2015-08-06,5,12,147,3,4,4,11,Loyal
1163,2015-12-14,3,9,17,5,2,3,10,Loyal
1164,2015-03-30,2,5,276,2,1,1,4,Churned
1165,2015-12-29,4,9,2,5,3,3,11,Loyal
1166,2014-06-03,2,4,576,1,1,1,3,Churned
1167,2015-02-16,2,4,318,2,1,1,4,Churned
1168,2015-03-06,3,9,300,2,2,3,7,Potential
1169,2014-12-15,9,21,381,1,5,5,11,Loyal
1170,2015-12-01,7,20,30,5,5,5,15,Champion
1171,2015-05-05,5,10,240,2,4,3,9,Potential
1173,2015-10-22,4,9,70,4,3,3,10,Loyal
1174,2015-02-11,5,11,323,2,4,3,9,Potential
1175,2015-06-30,5,19,184,3,4,5,12,Loyal
1176,2015-08-17,6,14,136,3,5,4,12,Loyal
1177,2015-10-14,1,4,78,4,1,1,6,At-Risk
1178,2015-11-15,4,11,46,5,3,3,11,Loyal
1179,2014-09-11,2,5,476,1,1,1,3,Churned
1180,2014-08-24,2,4,494,1,1,1,3,Churned
1181,2015-11-16,3,8,45,5,2,2,9,Potential
1182,2015-11-29,6,16,32,5,5,5,15,Champion
1183,2015-06-29,3,16,185,3,2,5,10,Loyal
1184,2015-06-16,2,5,198,2,1,1,4,Churned
1185,2015-08-24,4,10,129,3,3,3,9,Potential
1186,2015-04-26,4,9,249,2,3,3,8,Potential
1187,2015-12-12,3,7,19,5,2,2,9,Potential
1188,2015-01-09,3,8,356,1,2,2,5,Churned
1189,2014-07-04,2,4,545,1,1,1,3,Churned
1190,2015-10-27,8,17,65,4,5,5,14,Champion
1191,2015-08-08,2,6,145,3,1,2,6,At-Risk
1192,2015-01-09,2,5,356,1,1,1,3,Churned
1193,2015-11-12,2,4,49,4,1,1,6,At-Risk
1194,2015-05-13,3,9,232,2,2,3,7,Potential
1195,2015-11-04,3,6,57,4,2,2,8,Potential
1196,2015-11-27,3,8,34,5,2,2,9,Potential
1197,2015-11-22,6,18,39,5,5,5,15,Champion
1198,2015-01-31,3,7,334,1,2,2,5,Churned
1199,2015-12-10,4,13,21,5,3,4,12,Loyal
1200,2015-09-26,3,8,96,4,2,2,8,Potential
1201,2014-11-24,2,4,402,1,1,1,3,Churned
1202,2015-07-22,4,10,162,3,3,3,9,Potential
1204,2015-07-23,7,16,161,3,5,5,13,Champion
1205,2015-03-14,3,10,292,2,2,3,7,Potential
1206,2015-05-15,3,14,230,2,2,4,8,Potential
1207,2015-11-14,3,8,47,4,2,2,8,Potential
1208,2015-12-16,5,11,15,5,4,3,12,Loyal
1209,2014-11-11,4,9,415,1,3,3,7,Potential
1211,2015-05-24,6,16,221,2,5,5,12,Loyal
1212,2015-07-31,4,8,153,3,3,2,8,Potential
1213,2015-09-14,3,13,108,3,2,4,9,Potential
1214,2015-01-10,2,6,355,1,1,2,4,Churned
1215,2015-01-18,3,9,347,1,2,3,6,Churned
1216,2015-08-25,4,14,128,3,3,4,10,Loyal
1217,2015-02-18,3,8,316,2,2,2,6,Churned
1218,2015-12-29,7,21,2,5,5,5,15,Champion
1219,2014-10-02,2,4,455,1,1,1,3,Churned
1220,2015-12-29,5,17,2,5,4,5,14,Champion
1221,2014-11-15,1,2,411,1,1,1,3,Churned
1222,2015-09-24,2,4,98,4,1,1,6,At-Risk
1223,2015-11-30,4,10,31,5,3,3,11,Loyal
1224,2014-09-20,2,4,467,1,1,1,3,Churned
1225,2015-05-20,7,21,225,2,5,5,12,Loyal
1226,2015-11-12,2,10,49,4,1,3,8,Potential
1227,2014-05-08,1,2,602,1,1,1,3,Churned
1228,2015-02-23,1,3,311,2,1,1,4,Churned
1229,2015-03-20,3,8,286,2,2,2,6,Churned
1230,2015-11-19,6,14,42,5,5,4,14,Champion
1231,2015-10-27,7,16,65,4,5,5,14,Champion
1232,2015-07-01,3,7,183,3,2,2,7,Potential
1233,2015-08-13,6,19,140,3,5,5,13,Champion
1234,2015-11-20,4,10,41,5,3,3,11,Loyal
1235,2015-05-29,8,19,216,2,5,5,12,Loyal
1236,2015-05-11,2,5,234,2,1,1,4,Churned
1237,2015-04-09,7,20,266,2,5,5,12,Loyal
1238,2015-03-01,1,2,305,2,1,1,4,Churned
1239,2015-08-31,7,16,122,3,5,5,13,Champion
1240,2015-04-14,3,13,261,2,2,4,8,Potential
1241,2015-05-22,4,11,223,2,3,3,8,Potential
1242,2015-12-14,6,17,17,5,5,5,15,Champion
1243,2014-01-08,1,2,722,1,1,1,3,Churned
1244,2014-11-25,3,8,401,1,2,2,5,Churned
1245,2015-12-04,7,20,27,5,5,5,15,Champion
1246,2014-12-29,4,8,367,1,3,2,6,Churned
1247,2014-10-04,2,4,453,1,1,1,3,Churned
1248,2015-12-15,8,16,16,5,5,5,15,Champion
1249,2014-10-11,2,5,446,1,1,1,3,Churned
1250,2014-10-08,1,2,449,1,1,1,3,Churned
1251,2015-11-26,1,3,35,5,1,1,7,Potential
1252,2015-04-13,3,10,262,2,2,3,7,Potential
1253,2015-06-20,2,6,194,2,1,2,5,Churned
1254,2015-04-19,2,5,256,2,1,1,4,Churned
1255,2014-09-26,1,2,461,1,1,1,3,Churned
1256,2015-08-29,5,12,124,3,4,4,11,Loyal
1257,2014-09-16,2,4,471,1,1,1,3,Churned
1258,2014-08-09,2,6,509,1,1,2,4,Churned
1259,2015-11-27,6,14,34,5,5,4,14,Champion
1260,2014-10-04,2,4,453,1,1,1,3,Churned
1261,2015-05-21,2,8,224,2,1,2,5,Churned
1262,2014-07-22,2,6,527,1,1,2,4,Churned
1263,2014-10-19,2,4,438,1,1,1,3,Churned
1264,2015-12-07,6,17,24,5,5,5,15,Champion
1265,2015-10-03,7,25,89,4,5,5,14,Champion
1266,2014-08-27,1,2,491,1,1,1,3,Churned
1267,2014-05-15,1,2,595,1,1,1,3,Churned
1268,2014-10-19,4,9,438,1,3,3,7,Potential
1269,2015-09-30,5,14,92,4,4,4,12,Loyal
1270,2015-04-25,3,6,250,2,2,2,6,Churned
1272,2014-07-27,1,2,522,1,1,1,3,Churned
1273,2015-05-04,2,4,241,2,1,1,4,Churned
1274,2014-07-10,3,7,539,1,2,2,5,Churned
1275,2015-10-18,10,24,74,4,5,5,14,Champion
1276,2015-11-23,5,13,38,5,4,4,13,Champion
1277,2015-12-01,5,15,30,5,4,5,14,Champion
1278,2015-12-09,4,15,22,5,3,5,13,Champion
1279,2015-09-10,6,17,112,3,5,5,13,Champion
1280,2015-08-12,4,8,141,3,3,2,8,Potential
1281,2015-06-02,3,9,212,2,2,3,7,Potential
1282,2015-11-18,5,10,43,5,4,3,12,Loyal
1283,2015-11-13,7,17,48,4,5,5,14,Champion
1284,2014-09-01,2,4,486,1,1,1,3,Churned
1285,2015-07-21,5,14,163,3,4,4,11,Loyal
1286,2015-08-12,7,16,141,3,5,5,13,Champion
1287,2015-08-28,5,17,125,3,4,5,12,Loyal
1288,2014-09-28,2,7,459,1,1,2,4,Churned
1289,2015-11-08,4,11,53,4,3,3,10,Loyal
1290,2015-09-22,3,13,100,4,2,4,10,Loyal
1291,2015-03-20,4,12,286,2,3,4,9,Potential
1292,2015-10-24,2,4,68,4,1,1,6,At-Risk
1293,2015-10-26,4,11,66,4,3,3,10,Loyal
1294,2014-12-22,5,12,374,1,4,4,9,Potential
1295,2015-07-23,3,8,161,3,2,2,7,Potential
1296,2015-11-23,6,17,38,5,5,5,15,Champion
1297,2014-12-13,4,9,383,1,3,3,7,Potential
1298,2015-07-27,3,7,157,3,2,2,7,Potential
1299,2015-06-03,3,8,211,2,2,2,6,Churned
1300,2014-09-04,1,2,483,1,1,1,3,Churned
1301,2015-11-03,3,7,58,4,2,2,8,Potential
1302,2015-09-29,4,10,93,4,3,3,10,Loyal
1303,2015-09-08,5,14,114,3,4,4,11,Loyal
1304,2015-08-17,3,7,136,3,2,2,7,Potential
1305,2015-05-24,3,12,221,2,2,4,8,Potential
1306,2015-11-20,3,9,41,5,2,3,10,Loyal
1307,2015-06-22,5,12,192,2,4,4,10,Loyal
1308,2015-03-14,4,8,292,2,3,2,7,Potential
1309,2015-04-01,5,11,274,2,4,3,9,Potential
1310,2014-11-22,2,4,404,1,1,1,3,Churned
1311,2015-06-29,3,8,185,3,2,2,7,Potential
1312,2015-05-18,6,14,227,2,5,4,11,Loyal
1313,2015-12-25,1,2,6,5,1,1,7,Potential
1314,2014-09-05,1,2,482,1,1,1,3,Churned
1315,2015-11-07,3,6,54,4,2,2,8,Potential
1316,2015-03-26,3,6,280,2,2,2,6,Churned
1317,2014-07-26,3,6,523,1,2,2,5,Churned
1318,2015-09-26,2,5,96,4,1,1,6,At-Risk
1319,2015-08-18,3,9,135,3,2,3,8,Potential
1320,2015-01-19,4,10,346,1,3,3,7,Potential
1321,2015-04-13,2,5,262,2,1,1,4,Churned
1322,2015-10-19,4,15,73,4,3,5,12,Loyal
1323,2015-11-03,3,8,58,4,2,2,8,Potential
1324,2015-12-27,5,14,4,5,4,4,13,Champion
1325,2015-05-26,3,9,219,2,2,3,7,Potential
1326,2015-11-09,3,11,52,4,2,3,9,Potential
1327,2015-08-09,8,18,144,3,5,5,13,Champion
1328,2015-03-24,3,10,282,2,2,3,7,Potential
1329,2015-05-23,5,16,222,2,4,5,11,Loyal
1330,2015-11-02,4,11,59,4,3,3,10,Loyal
1331,2015-11-29,4,9,32,5,3,3,11,Loyal
1332,2015-12-02,5,15,29,5,4,5,14,Champion
1333,2015-09-22,6,18,100,4,5,5,14,Champion
1334,2015-06-07,2,5,207,2,1,1,4,Churned
1335,2015-10-18,4,12,74,4,3,4,11,Loyal
1336,2015-04-04,3,9,271,2,2,3,7,Potential
1337,2015-12-25,2,4,6,5,1,1,7,Potential
1338,2014-08-11,2,5,507,1,1,1,3,Churned
1339,2015-11-28,5,13,33,5,4,4,13,Champion
1340,2015-11-18,6,14,43,5,5,4,14,Champion
1341,2015-10-30,4,12,62,4,3,4,11,Loyal
1342,2015-02-19,5,13,315,2,4,4,10,Loyal
1343,2015-11-01,4,10,60,4,3,3,10,Loyal
1344,2015-09-04,2,6,118,3,1,2,6,At-Risk
1345,2015-07-21,3,10,163,3,2,3,8,Potential
1346,2015-05-08,3,7,237,2,2,2,6,Churned
1347,2015-09-15,4,14,107,3,3,4,10,Loyal
1348,2015-09-17,2,6,105,4,1,2,7,Potential
1349,2015-12-13,4,11,18,5,3,3,11,Loyal
1350,2014-09-03,2,6,484,1,1,2,4,Churned
1351,2015-02-26,2,6,308,2,1,2,5,Churned
1352,2014-03-03,1,2,668,1,1,1,3,Churned
1353,2015-02-09,6,21,325,1,5,5,11,Loyal
1354,2015-12-01,5,13,30,5,4,4,13,Champion
1355,2015-09-19,5,13,103,4,4,4,12,Loyal
1356,2015-09-08,4,10,114,3,3,3,9,Potential
1357,2015-09-06,3,6,116,3,2,2,7,Potential
1358,2015-12-29,4,12,2,5,3,4,12,Loyal
1359,2014-05-29,1,4,581,1,1,1,3,Churned
1360,2015-12-16,5,16,15,5,4,5,14,Champion
1361,2015-09-08,7,17,114,3,5,5,13,Champion
1362,2015-10-06,2,5,86,4,1,1,6,At-Risk
1363,2015-10-14,5,13,78,4,4,4,12,Loyal
1364,2015-07-31,4,8,153,3,3,2,8,Potential
1365,2015-11-02,6,12,59,4,5,4,13,Champion
1366,2015-11-29,6,25,32,5,5,5,15,Champion
1367,2015-08-05,2,5,148,3,1,1,5,At-Risk
1368,2015-07-15,1,2,169,3,1,1,5,At-Risk
1369,2014-12-01,3,8,395,1,2,2,5,Churned
1370,2015-07-05,3,13,179,3,2,4,9,Potential
1371,2015-05-11,3,6,234,2,2,2,6,Churned
1372,2015-06-25,3,10,189,3,2,3,8,Potential
1373,2015-07-19,3,14,165,3,2,4,9,Potential
1374,2015-08-05,4,11,148,3,3,3,9,Potential
1375,2015-10-11,1,2,81,4,1,1,6,At-Risk
1376,2015-06-30,3,7,184,3,2,2,7,Potential
1377,2015-03-14,3,11,292,2,2,3,7,Potential
1378,2015-10-12,2,4,80,4,1,1,6,At-Risk
1379,2015-07-13,11,28,171,3,5,5,13,Champion
1380,2015-11-21,5,11,40,5,4,3,12,Loyal
1381,2015-03-23,5,15,283,2,4,5,11,Loyal
1382,2015-09-29,3,6,93,4,2,2,8,Potential
1383,2015-02-23,3,6,311,2,2,2,6,Churned
1384,2015-12-19,7,15,12,5,5,5,15,Champion
1385,2015-11-26,5,15,35,5,4,5,14,Champion
1386,2015-07-31,3,6,153,3,2,2,7,Potential
1387,2014-05-31,2,6,579,1,1,2,4,Churned
1388,2015-04-03,3,7,272,2,2,2,6,Churned
1389,2015-02-18,3,8,316,2,2,2,6,Churned
1390,2015-03-02,3,12,304,2,2,4,8,Potential
1391,2015-08-21,6,13,132,3,5,4,12,Loyal
1392,2015-04-20,3,6,255,2,2,2,6,Churned
1393,2014-08-26,3,7,492,1,2,2,5,Churned
1394,2015-05-24,2,4,221,2,1,1,4,Churned
1395,2015-10-12,8,23,80,4,5,5,14,Champion
1396,2015-07-22,2,8,162,3,1,2,6,At-Risk
1397,2015-12-21,1,2,10,5,1,1,7,Potential
1398,2015-04-15,2,8,260,2,1,2,5,Churned
1399,2014-12-10,4,9,386,1,3,3,7,Potential
1400,2014-10-11,1,2,446,1,1,1,3,Churned
1401,2015-05-29,2,4,216,2,1,1,4,Churned
1402,2014-10-14,1,4,443,1,1,1,3,Churned
1403,2015-05-16,4,10,229,2,3,3,8,Potential
1404,2015-05-03,5,18,242,2,4,5,11,Loyal
1405,2015-02-28,2,6,306,2,1,2,5,Churned
1406,2015-12-28,2,12,3,5,1,4,10,Loyal
1407,2015-07-29,6,23,155,3,5,5,13,Champion
1408,2015-07-23,3,7,161,3,2,2,7,Potential
1409,2015-07-28,3,6,156,3,2,2,7,Potential
1410,2015-11-08,10,27,53,4,5,5,14,Champion
1411,2015-02-20,2,4,314,2,1,1,4,Churned
1412,2015-11-16,4,12,45,5,3,4,12,Loyal
1413,2014-12-14,3,7,382,1,2,2,5,Churned
1414,2015-05-24,1,2,221,2,1,1,4,Churned
1415,2014-12-28,2,4,368,1,1,1,3,Churned
1416,2015-08-22,6,14,131,3,5,4,12,Loyal
1417,2015-09-18,5,10,104,4,4,3,11,Loyal
1418,2014-12-02,3,7,394,1,2,2,5,Churned
1419,2015-04-07,5,15,268,2,4,5,11,Loyal
1420,2015-12-08,4,11,23,5,3,3,11,Loyal
1421,2015-08-07,4,11,146,3,3,3,9,Potential
1422,2015-10-04,7,19,88,4,5,5,14,Champion
1423,2014-10-13,2,6,444,1,1,2,4,Churned
1424,2015-10-09,3,6,83,4,2,2,8,Potential
1425,2015-09-24,4,10,98,4,3,3,10,Loyal
1426,2015-07-08,5,10,176,3,4,3,10,Loyal
1427,2015-11-26,6,16,35,5,5,5,15,Champion
1428,2015-01-18,5,13,347,1,4,4,9,Potential
1429,2015-02-07,2,5,327,1,1,1,3,Churned
1430,2015-12-17,6,16,14,5,5,5,15,Champion
1431,2015-11-07,4,9,54,4,3,3,10,Loyal
1432,2015-08-04,4,11,149,3,3,3,9,Potential
1433,2014-09-22,1,4,465,1,1,1,3,Churned
1434,2014-11-28,3,8,398,1,2,2,5,Churned
1435,2015-04-24,5,15,251,2,4,5,11,Loyal
1436,2015-03-01,1,2,305,2,1,1,4,Churned
1437,2015-08-15,2,4,138,3,1,1,5,At-Risk
1438,2015-11-28,6,17,33,5,5,5,15,Champion
1439,2015-08-13,1,3,140,3,1,1,5,At-Risk
1440,2015-12-06,6,12,25,5,5,4,14,Champion
1442,2015-08-31,6,13,122,3,5,4,12,Loyal
1443,2015-10-09,4,11,83,4,3,3,10,Loyal
1444,2015-12-29,6,20,2,5,5,5,15,Champion
1445,2014-05-02,3,6,608,1,2,2,5,Churned
1446,2014-09-02,3,8,485,1,2,2,5,Churned
1447,2014-06-05,1,3,574,1,1,1,3,Churned
1448,2015-03-19,2,4,287,2,1,1,4,Churned
1449,2015-10-03,4,9,89,4,3,3,10,Loyal
1450,2015-11-16,6,16,45,5,5,5,15,Champion
1451,2015-01-27,2,6,338,1,1,2,4,Churned
1452,2015-11-25,6,15,36,5,5,5,15,Champion
1453,2014-11-21,2,4,405,1,1,1,3,Churned
1454,2015-10-22,4,11,70,4,3,3,10,Loyal
1455,2015-03-18,1,2,288,2,1,1,4,Churned
1456,2015-11-20,6,18,41,5,5,5,15,Champion
1457,2015-01-09,6,12,356,1,5,4,10,Loyal
1458,2015-08-24,3,7,129,3,2,2,7,Potential
1459,2015-07-18,1,4,166,3,1,1,5,At-Risk
1460,2015-06-24,3,10,190,2,2,3,7,Potential
1461,2015-12-21,3,8,10,5,2,2,9,Potential
1462,2014-09-24,2,4,463,1,1,1,3,Churned
1463,2015-12-24,3,6,7,5,2,2,9,Potential
1464,2015-06-03,2,5,211,2,1,1,4,Churned
1465,2015-11-09,7,17,52,4,5,5,14,Champion
1466,2015-12-01,9,23,30,5,5,5,15,Champion
1467,2015-08-20,2,5,133,3,1,1,5,At-Risk
1468,2015-10-09,6,15,83,4,5,5,14,Champion
1469,2014-08-28,1,2,490,1,1,1,3,Churned
1470,2014-06-11,1,2,568,1,1,1,3,Churned
1471,2014-08-21,2,4,497,1,1,1,3,Churned
1472,2015-09-19,6,16,103,4,5,5,14,Champion
1473,2015-10-02,4,10,90,4,3,3,10,Loyal
1474,2015-07-29,5,12,155,3,4,4,11,Loyal
1475,2015-12-17,4,10,14,5,3,3,11,Loyal
1476,2015-08-26,6,13,127,3,5,4,12,Loyal
1477,2015-11-20,6,17,41,5,5,5,15,Champion
1478,2015-02-12,4,8,322,2,3,2,7,Potential
1479,2015-05-15,4,14,230,2,3,4,9,Potential
1480,2015-11-21,6,13,40,5,5,4,14,Champion
1481,2015-06-04,2,4,210,2,1,1,4,Churned
1482,2015-11-22,6,20,39,5,5,5,15,Champion
1483,2015-06-27,8,20,187,3,5,5,13,Champion
1484,2015-10-07,3,8,85,4,2,2,8,Potential
1485,2015-07-12,2,4,172,3,1,1,5,At-Risk
1486,2015-12-14,6,17,17,5,5,5,15,Champion
1487,2014-11-02,2,7,424,1,1,2,4,Churned
1488,2015-11-28,4,8,33,5,3,2,10,Loyal
1489,2015-06-23,5,13,191,2,4,4,10,Loyal
1490,2015-10-04,2,4,88,4,1,1,6,At-Risk
1491,2015-12-30,5,11,1,5,4,3,12,Loyal
1492,2015-01-29,5,11,336,1,4,3,8,Potential
1493,2015-10-01,6,15,91,4,5,5,14,Champion
1494,2015-09-29,6,16,93,4,5,5,14,Champion
1495,2015-01-09,3,9,356,1,2,3,6,Churned
1496,2014-04-26,1,2,614,1,1,1,3,Churned
1497,2015-10-10,4,9,82,4,3,3,10,Loyal
1498,2015-10-28,4,8,64,4,3,2,9,Potential
1499,2015-11-09,5,10,52,4,4,3,11,Loyal
1500,2015-03-21,6,16,285,2,5,5,12,Loyal
